,pais_evento,total_competidores,total_residentes,total_residentes_clasificados,total_clasificados,ratio_clasificados_residentes,ratio_cantidad_residentes,relacion_ratio1_sobre_ratio2
0,Switzerland,13468,7118,229,322,71.11801242236024,52.85120285120285,1.3456271302393197
1,Croatia,3192,61,3,120,2.5,1.9110275689223057,1.3081967213114754
2,United Arab Emirates,4451,110,6,196,3.061224489795918,2.4713547517411816,1.238682745825603
3,South Africa,18454,14799,486,522,93.10344827586206,80.19399588165167,1.1609777920688955
4,France,24315,12773,373,644,57.919254658385086,52.53135924326548,1.1025653151324146
5,Australia,58297,50352,2248,2488,90.35369774919614,86.37151139852823,1.0461053220696075
6,Panama,2268,544,50,201,24.875621890547265,23.985890652557316,1.0370939420544338
7,Canada,42350,29883,1081,1489,72.59905977165883,70.56198347107438,1.0288693174479642
8,Brazil,13962,12797,735,802,91.64588528678304,91.65592322016903,0.9998904824365592
9,New Zealand,6254,4230,295,443,66.59142212189616,67.63671250399744,0.9845455176130935
10,United States,357462,304237,9276,11090,83.64292155094681,85.1103054310668,0.9827590340242819
11,United Kingdom,14183,12706,600,688,87.20930232558139,89.58612423323697,0.973468861076437
12,Norway,5762,4474,237,320,74.0625,77.6466504685873,0.9538402436298614
13,Austria,26782,10126,262,733,35.743519781718966,37.808976178030015,0.9453712688070289
14,Argentina,7352,5466,249,360,69.16666666666667,74.34711643090316,0.9303207708257105
15,Japan,5411,4965,273,320,85.3125,91.75753095546109,0.9297601963746224
16,Finland,2339,1522,47,80,58.75,65.07054296707994,0.9028662943495401
17,Portugal,3097,655,22,122,18.0327868852459,21.149499515660317,0.8526342134901764
18,Germany,21242,15488,571,922,61.93058568329718,72.91215516429715,0.8493862997705312
19,Denmark,7317,4797,242,441,54.87528344671202,65.55965559655597,0.8370282446937498
20,Sweden,4205,3027,98,164,59.756097560975604,71.98573127229488,0.8301103080406423
21,Poland,9084,7365,158,241,65.56016597510373,81.07661822985469,0.8086198882794872
22,Chile,7295,5798,206,322,63.975155279503106,79.47909527073338,0.8049305929009575
23,Colombia,5863,4198,91,160,56.875,71.60156916254478,0.7943261672224868
24,Costa Rica,2927,1885,61,120,50.83333333333333,64.40040997608473,0.7893324491600353
25,Mexico,23684,17786,617,1045,59.04306220095694,75.09711197432866,0.7862228073582954
26,Estonia,2121,1173,68,160,42.5,55.3041018387553,0.7684782608695653
27,South Korea,2426,1921,120,200,60.0,79.1838417147568,0.7577303487766789
28,Ireland,5586,4085,131,241,54.356846473029044,73.12925170068027,0.7432982727009553
29,Italy,6451,4698,149,281,53.02491103202846,72.82591846225391,0.7281049405440946
30,Peru,2934,1027,30,121,24.793388429752067,35.003408316291754,0.7083135506610765
31,Spain,28888,6328,124,845,14.67455621301775,21.9052893935198,0.6699092602428204
32,Taiwan,2865,1588,88,240,36.666666666666664,55.42757417102967,0.6615239294710327
33,India,417,383,23,40,57.49999999999999,91.84652278177458,0.6260443864229764
34,Ecuador,4604,3800,94,200,47.0,82.53692441355344,0.5694421052631579
35,Bahrain,2587,405,24,280,8.571428571428571,15.655199072284502,0.5475132275132274
36,Hungary,3483,894,17,121,14.049586776859504,25.667527993109392,0.5473681291252981
37,Luxembourg,9580,768,12,281,4.270462633451958,8.01670146137787,0.5326957295373667
38,Greece,296,79,5,40,12.5,26.68918918918919,0.46835443037974683
39,Philippines,14865,10702,265,804,32.960199004975124,71.99461823074336,0.4578147619220288
40,Uruguay,2547,480,13,160,8.125,18.84570082449941,0.4311328125
41,Indonesia,3051,391,10,202,4.9504950495049505,12.815470337594231,0.3862905472132891
42,Puerto Rico,7220,2302,38,362,10.497237569060774,31.883656509695292,0.32923568743969933
43,Sri Lanka,1030,123,4,120,3.3333333333333335,11.941747572815533,0.2791327913279133
44,China,5713,2616,66,565,11.68141592920354,45.79030281813408,0.25510676301047336
45,Malaysia,3908,1377,21,240,8.75,35.23541453428864,0.24832970225127088
46,Kazakhstan,1676,893,10,80,12.5,53.28162291169451,0.23460246360582307
47,Singapore,2950,923,7,120,5.833333333333333,31.28813559322034,0.18643914770675332
48,Thailand,5168,1608,13,240,5.416666666666667,31.11455108359133,0.17408789386401327
49,Vietnam,3414,570,2,200,1.0,16.695957820738137,0.059894736842105264
