,pais_evento,lugar.Nombre_Lugar,lugar.Latitud,año,genero,categoria,max_tiempo_clasificacion,prom_finish_time,ratio
0,China,China,35.000074,2009,M,18-24,7.338055555555556,6.307083333333333,-1.030972222222223
1,United States,New Orleans,29.9759983,2012,M,65-69,7.376111111111111,6.385138888888889,-0.9909722222222221
2,United Arab Emirates,Dubai,25.074282349999997,2016,M,30-34,6.561111111111111,5.58611111111111,-0.9750000000000005
3,China,China,35.000074,2010,M,18-24,6.726111111111111,5.889444444444445,-0.836666666666666
4,United States,Croix,50.6802124,2015,F,50-54,7.2225,6.391666666666667,-0.8308333333333335
5,China,China,35.000074,2009,M,45-49,6.414444444444444,5.590092592592593,-0.8243518518518513
6,United Arab Emirates,Dubai,25.074282349999997,2016,M,45-49,6.735277777777778,5.917722222222222,-0.8175555555555558
7,Philippines,Philippines,12.7503486,2019,M,65-69,7.208055555555555,6.531944444444444,-0.6761111111111111
8,New Zealand,New Zealand,-41.5000831,2017,F,45-49,7.050833333333333,6.38,-0.6708333333333334
9,United States,Croix,50.6802124,2016,M,25-29,6.1066666666666665,5.480138888888889,-0.6265277777777776
10,Philippines,Subic,14.8774796,2018,F,30-34,6.483333333333333,5.869722222222222,-0.6136111111111111
11,United States,Saipan,15.1909825,2017,M,45-49,6.703888888888889,6.098819444444445,-0.6050694444444442
12,China,China,35.000074,2009,F,50-54,7.184444444444445,6.60375,-0.5806944444444451
13,United Arab Emirates,Dubai,25.074282349999997,2016,M,50-54,6.764166666666667,6.189166666666667,-0.5750000000000002
14,United States,Saipan,15.1909825,2017,M,35-39,6.385,5.824907407407408,-0.5600925925925919
15,United States,Croix,50.6802124,2015,M,55-59,6.490833333333334,5.931111111111111,-0.5597222222222227
16,United States,Croix,50.6802124,2015,M,45-49,6.408333333333333,5.849444444444445,-0.5588888888888883
17,China,China,35.000074,2009,F,30-34,7.0,6.447222222222223,-0.5527777777777771
18,Philippines,Subic,14.8774796,2018,F,40-44,7.101944444444444,6.5656944444444445,-0.5362499999999999
19,Sri Lanka,Sri Lanka,7.877395849999999,2012,M,18-24,6.446111111111111,5.9125,-0.533611111111111
20,India,Goa,15.3004543,2019,M,25-29,5.740277777777778,5.210208333333334,-0.530069444444444
21,China,China,35.000074,2009,M,55-59,7.516666666666667,6.988333333333333,-0.5283333333333333
22,United States,New Orleans,29.9759983,2012,M,40-44,5.957222222222223,5.43337962962963,-0.5238425925925929
23,India,Goa,15.3004543,2019,M,40-44,6.180555555555555,5.657333333333334,-0.5232222222222216
24,Philippines,Subic,14.8774796,2019,F,40-44,6.467222222222222,5.944814814814815,-0.5224074074074077
25,United States,Gulf Coast,26.301135,2020,F,55-59,6.605833333333333,6.085277777777778,-0.5205555555555552
26,Turkey,Turkey,38.9597594,2017,F,35-39,5.520555555555555,5.01037037037037,-0.5101851851851853
27,United Arab Emirates,Dubai,25.074282349999997,2016,M,35-39,6.446666666666666,5.946635802469135,-0.5000308641975311
28,United States,Gulf Coast,26.301135,2020,F,25-29,5.773333333333333,5.276203703703703,-0.49712962962963037
29,United States,Croix,50.6802124,2016,M,60-64,6.696111111111111,6.208888888888889,-0.487222222222222
30,China,Qujing,25.4936418,2018,F,25-29,6.062222222222222,5.577222222222222,-0.4850000000000003
31,Philippines,Philippines,12.7503486,2011,F,40-44,5.618611111111111,5.151944444444444,-0.4666666666666668
32,China,China,35.000074,2010,M,50-54,6.919444444444444,6.457222222222223,-0.46222222222222165
33,Bahrain,Bahrain,26.1551249,2016,M,18-24,5.175277777777778,4.715277777777778,-0.45999999999999996
34,United Kingdom,UK,54.7023545,2013,F,30-34,6.044444444444444,5.584444444444444,-0.45999999999999996
35,China,China,35.000074,2010,M,30-34,5.760277777777778,5.301333333333333,-0.4589444444444446
36,Philippines,Cebú,10.2931062,2018,F,30-34,5.7186111111111115,5.268611111111111,-0.4500000000000002
37,United States,New Orleans,29.9759983,2012,F,40-44,5.729444444444445,5.283055555555556,-0.4463888888888885
38,United States,Saipan,15.1909825,2017,F,30-34,6.723611111111111,6.279861111111112,-0.44374999999999964
39,India,Goa,15.3004543,2019,M,30-34,6.0325,5.58912037037037,-0.4433796296296295
40,Philippines,Subic,14.8774796,2018,M,25-29,5.729444444444445,5.288958333333333,-0.44048611111111136
41,United States,Buffalo,42.8867166,2018,M,35-39,5.315555555555555,4.878333333333333,-0.4372222222222222
42,Norway,Norway,61.1529386,2018,F,40-44,5.592222222222222,5.162361111111111,-0.42986111111111125
43,Philippines,Philippines,12.7503486,2010,M,50-54,5.898888888888889,5.4719444444444445,-0.42694444444444457
44,New Zealand,New Zealand,-41.5000831,2017,M,35-39,5.1433333333333335,4.722222222222222,-0.4211111111111112
45,Estonia,Otepää,58.0584907,2017,F,25-29,5.674166666666666,5.2531944444444445,-0.42097222222222186
46,United Arab Emirates,Dubai,25.074282349999997,2016,M,55-59,7.076388888888889,6.658472222222223,-0.4179166666666667
47,China,Qujing,25.4936418,2017,F,45-49,5.787222222222222,5.380138888888888,-0.40708333333333346
48,Norway,Norway,61.1529386,2018,F,25-29,5.634444444444444,5.231944444444444,-0.40249999999999986
49,Mexico,Los Cabos,43.5139571,2016,F,45-49,6.441944444444444,6.040277777777778,-0.4016666666666664
50,United States,Croix,50.6802124,2015,F,35-39,6.43,6.028472222222222,-0.40152777777777793
51,Norway,Norway,61.1529386,2018,M,18-24,5.193333333333333,4.792916666666667,-0.40041666666666664
52,Philippines,Subic,14.8774796,2018,M,35-39,5.748333333333333,5.347916666666666,-0.40041666666666664
53,United States,Buffalo,42.8867166,2014,M,55-59,5.698888888888889,5.302222222222222,-0.3966666666666665
54,Indonesia,Bintan,1.01965765,2017,F,40-44,5.840833333333333,5.44537037037037,-0.3954629629629629
55,Australia,Cairns,-16.9206657,2020,M,18-24,5.750555555555556,5.360972222222222,-0.3895833333333334
56,Philippines,Cebú,10.2931062,2018,M,40-44,5.286388888888889,4.899166666666667,-0.38722222222222236
57,Mexico,Los Cabos,43.5139571,2016,M,18-24,5.358055555555556,4.9712499999999995,-0.38680555555555607
58,Indonesia,Bintan,1.01965765,2018,M,40-44,5.115,4.729259259259259,-0.38574074074074094
59,United Kingdom,Edinburgh,55.9533456,2017,F,30-34,5.938611111111111,5.553333333333333,-0.3852777777777785
60,United States,Gulf Coast,26.301135,2020,M,55-59,5.523055555555556,5.137916666666667,-0.38513888888888825
61,United States,Waco,31.549333,2019,F,40-44,5.568611111111111,5.184166666666666,-0.38444444444444503
62,United States,Boulder,40.0149856,2015,F,50-54,5.398888888888889,5.015138888888889,-0.38375000000000004
63,Oman,Oman,21.0000287,2020,F,50-54,5.453055555555555,5.071527777777778,-0.38152777777777747
64,Mexico,Los Cabos,43.5139571,2016,F,40-44,5.8875,5.510694444444445,-0.3768055555555554
65,United States,Arizona,34.395342,2016,F,50-54,5.381944444444445,5.005416666666667,-0.3765277777777776
66,China,China,35.000074,2009,M,30-34,5.872222222222222,5.496888888888889,-0.37533333333333285
67,South Korea,Goseong,34.9732784,2015,F,40-44,6.076388888888889,5.709907407407408,-0.36648148148148163
68,Spain,Lanzarote,29.03970805,2017,F,25-29,5.237777777777778,4.872222222222222,-0.36555555555555586
69,United States,Croix,50.6802124,2017,F,45-49,6.210555555555556,5.846805555555555,-0.36375000000000046
70,Vietnam,Vietnam,15.9266657,2019,F,30-34,5.3694444444444445,5.005833333333333,-0.3636111111111111
71,Philippines,Cebú,10.2931062,2018,M,35-39,4.963611111111111,4.600753968253969,-0.3628571428571421
72,Philippines,Subic,14.8774796,2018,F,25-29,5.899166666666667,5.539583333333333,-0.35958333333333403
73,Canada,Calgary,51.0460954,2012,F,35-39,5.493888888888889,5.1350694444444445,-0.35881944444444436
74,Australia,Western Australia,-25.2303005,2018,F,45-49,5.383611111111111,5.0273611111111105,-0.3562500000000002
75,South Korea,Goseong,34.9732784,2015,M,40-44,5.219166666666666,4.864111111111111,-0.35505555555555546
76,China,China,35.000074,2009,M,35-39,5.838055555555556,5.483240740740741,-0.3548148148148149
