,pais_procedencia,participantes_por_pais,clasificados_sobre_cantidad_participantes
0,South Sudan,1,100.0
1,"Bonaire, Saint Eustatius and Saba",2,50.0
2,Eritrea,2,50.0
3,St. Lucia,2,50.0
4,French Southern Territories,3,33.33333333333333
5,Greenland,4,25.0
6,Seychelles,4,25.0
7,Chad,4,25.0
8,Martinique,69,17.391304347826086
9,Equatorial Guinea,6,16.666666666666664
10,Ghana,12,16.666666666666664
11,Sint Maarten,6,16.666666666666664
12,American Samoa,18,11.11111111111111
13,Northern Mariana Islands,9,11.11111111111111
14,Central African Republic,10,10.0
15,Uzbekistan,47,8.51063829787234
16,Guam,120,8.333333333333332
17,French Polynesia,24,8.333333333333332
18,Armenia,85,8.235294117647058
19,Eswatini,64,7.8125
20,Bermuda,269,7.806691449814126
21,Monaco,91,7.6923076923076925
22,Gibraltar,26,7.6923076923076925
23,"Micronesia, Fed. Sts.",13,7.6923076923076925
24,Malta,171,7.602339181286549
25,Latvia,465,7.526881720430108
26,New Zealand,7015,7.36992159657876
27,Curacao,28,7.142857142857142
28,Panama,1472,6.929347826086957
29,United Arab Emirates,441,6.802721088435375
30,Algeria,31,6.451612903225806
31,Hong Kong,2212,6.374321880650995
32,Czech Republic,1464,6.215846994535519
33,Japan,8806,6.120826709062003
34,Afghanistan,33,6.0606060606060606
35,Switzerland,12335,6.023510336441022
36,South Korea,2279,5.923650724001755
37,St. Barths,17,5.88235294117647
38,Paraguay,359,5.8495821727019495
39,Antarctica,35,5.714285714285714
40,Belgium,7161,5.683563748079877
41,Taiwan,2086,5.608820709491851
42,Dominican Republic,524,5.343511450381679
43,Denmark,7658,5.340820057456255
44,Bahrain,656,5.335365853658536
45,Andorra,114,5.263157894736842
46,Uganda,19,5.263157894736842
47,Brazil,20644,5.231544274365433
48,Australia,57713,5.156550517214492
49,Estonia,1389,5.111591072714183
50,Norway,6151,5.104860998211673
51,Argentina,11232,5.003561253561253
52,Greece,546,4.945054945054945
53,Croatia,311,4.823151125401929
54,Trinidad and Tobago,64,4.6875
55,Slovenia,972,4.62962962962963
56,Zimbabwe,108,4.62962962962963
57,United Kingdom,35749,4.553973537721335
58,Faeroe Islands,22,4.545454545454546
59,Vatican,22,4.545454545454546
60,Guadeloupe,178,4.49438202247191
61,Jamaica,69,4.3478260869565215
62,Qatar,115,4.3478260869565215
63,Moldova,46,4.3478260869565215
64,Germany,36006,4.246514469810587
65,Canada,46988,4.1499957435941095
66,Chile,8570,4.072345390898483
67,Russia,4900,4.040816326530612
68,France,23361,4.015239073669791
69,Papua New Guinea,25,4.0
70,Brunei Darussalam,76,3.9473684210526314
71,Peru,1936,3.925619834710744
72,Finland,2372,3.87858347386172
73,Portugal,1222,3.8461538461538463
74,United States Minor Outlying Islands,52,3.8461538461538463
75,Luxembourg,1287,3.807303807303807
76,Venezuela,2658,3.799849510910459
77,Albania,27,3.7037037037037033
78,Lebanon,190,3.684210526315789
79,Netherlands,5567,3.682414226693012
80,Sweden,5745,3.5509138381201044
81,Indonesia,1070,3.4579439252336446
82,South Africa,18110,3.451131971286582
83,Guernsey,30,3.3333333333333335
84,Costa Rica,4000,3.325
85,El Salvador,334,3.293413173652695
86,Hungary,1537,3.253090435914118
87,Uruguay,926,3.2397408207343417
88,Ireland,7488,3.205128205128205
89,Spain,10232,3.1860828772478498
90,Austria,12747,3.1772181689809367
91,United States,326073,3.1572684644236104
92,Italy,13758,3.147259776130251
93,Iran,66,3.0303030303030303
94,Sri Lanka,169,2.9585798816568047
95,Singapore,4756,2.943650126156434
96,Mexico,25348,2.9154173899321445
97,India,1223,2.8618152085036797
98,Iceland,175,2.857142857142857
99,Cuba,71,2.8169014084507045
100,Liechtenstein,36,2.7777777777777777
101,Jersey,109,2.7522935779816518
102,Ecuador,5432,2.687776141384389
103,Poland,10033,2.6113824379547497
104,China,3455,2.6049204052098407
105,Reunion,77,2.5974025974025974
106,Macau,77,2.5974025974025974
107,Isle of Man,39,2.564102564102564
108,Colombia,8061,2.5431087954348097
109,Guatemala,1540,2.4675324675324677
110,Israel,537,2.4208566108007448
111,Bahamas,83,2.4096385542168677
112,Thailand,2260,2.3893805309734515
113,Philippines,12603,2.348647147504562
114,New Caledonia,88,2.272727272727273
115,Honduras,276,2.1739130434782608
116,Ukraine,1205,2.1576763485477177
117,DR Congo,47,2.127659574468085
118,Kyrgyz Republic,94,2.127659574468085
119,Türkiye,1872,2.083333333333333
120,British Virgin Islands,49,2.0408163265306123
121,Saudi Arabia,152,1.9736842105263157
122,Slovakia,866,1.8475750577367205
123,Romania,488,1.8442622950819672
124,Malaysia,2407,1.7864561695056087
125,Kazakhstan,1244,1.7684887459807075
126,Puerto Rico,3141,1.7191977077363898
127,Oman,59,1.694915254237288
128,Egypt,449,1.55902004454343
129,Aruba,129,1.550387596899225
130,Kuwait,195,1.5384615384615385
131,Vietnam,771,1.4267185473411155
132,Lithuania,353,1.41643059490085
133,Nicaragua,84,1.1904761904761905
134,Belarus,179,1.1173184357541899
135,Bolivia,381,1.0498687664041995
136,Cyprus,105,0.9523809523809524
137,Serbia,130,0.7692307692307693
138,Morocco,461,0.6507592190889371
