,Pais_Procedencia,total_competidores,total_Clasificados,total_extranjeros_clasificados,ratio_clasificados_extranjeros,ratio_extranjeros,ratio1_sobre_ratio2,Pais_Evento
0,Argentina,2547,160,91,56.875,81.15429917550058,0.7008254716981133,Uruguay
1,United States,7220,362,190,52.48618784530387,68.11634349030471,0.7705373652767261,Puerto Rico
2,France,1231,40,17,42.5,87.08367181153534,0.48803638059701493,Morocco
3,Russia,1676,80,33,41.25,46.71837708830549,0.8829501915708813,Kazakhstan
4,Australia,2950,120,48,40.0,68.71186440677967,0.5821410952146028,Singapore
5,Australia,3051,202,76,37.62376237623762,87.18452966240577,0.4315417256011315,Indonesia
6,Belgium,9580,281,84,29.8932384341637,91.98329853862212,0.32498550181489816,Luxembourg
7,Germany,9580,281,83,29.537366548042705,91.98329853862212,0.3211166267932923,Luxembourg
8,Germany,26782,733,213,29.058663028649384,62.191023821969985,0.4672485069844427,Austria
9,United Kingdom,5586,241,70,29.045643153526974,26.87074829931973,1.0809391249540419,Ireland
10,Chile,2934,121,29,23.96694214876033,64.99659168370825,0.3687415220999623,Peru
11,Germany,3192,120,28,23.333333333333332,98.08897243107769,0.23787927179814755,Croatia
12,Australia,3908,240,54,22.5,64.76458546571136,0.34741209008297114,Malaysia
13,United States,42350,1489,328,22.02820685023506,29.43801652892562,0.748291136686817,Canada
14,United Kingdom,4451,196,43,21.93877551020408,97.52864524825881,0.22494699331010912,United Arab Emirates
15,United Kingdom,2587,280,59,21.071428571428573,84.3448009277155,0.24982486578499413,Bahrain
16,United States,2927,120,25,20.833333333333336,35.599590023915276,0.5852127319257837,Costa Rica
17,United Kingdom,28888,845,170,20.118343195266274,78.0947106064802,0.25761467119895926,Spain
18,Brazil,2547,160,32,20.0,81.15429917550058,0.24644412191582005,Uruguay
19,United Kingdom,296,40,8,20.0,73.3108108108108,0.2728110599078341,Greece
20,Australia,6254,443,86,19.41309255079007,32.363287496002556,0.5998492135011911,New Zealand
21,Argentina,7295,322,62,19.25465838509317,20.52090472926662,0.9382948090798576,Chile
22,Italy,3192,120,23,19.166666666666668,98.08897243107769,0.19540083040562123,Croatia
23,Australia,5168,240,46,19.166666666666668,68.88544891640866,0.2782397003745319,Thailand
24,Australia,3414,200,38,19.0,83.30404217926186,0.22808016877637133,Vietnam
25,United Kingdom,1207,80,14,17.5,97.34879867439933,0.1797659574468085,Oman
26,United States,2268,201,35,17.412935323383085,76.01410934744268,0.22907504242130414,Panama
27,Slovenia,3192,120,20,16.666666666666664,98.08897243107769,0.16991376557010537,Croatia
28,Austria,3483,121,20,16.528925619834713,74.33247200689061,0.22236480468862227,Hungary
29,Brazil,2934,121,19,15.702479338842975,64.99659168370825,0.2415892730999753,Peru
30,Japan,2865,240,37,15.416666666666668,44.57242582897033,0.3458790133124511,Taiwan
31,United States,23684,1045,161,15.406698564593302,24.902888025671338,0.6186711576870597,Mexico
32,Austria,3192,120,18,15.0,98.08897243107769,0.15292238901309485,Croatia
33,Italy,296,40,6,15.0,73.3108108108108,0.2046082949308756,Greece
34,United Kingdom,3414,200,30,15.0,83.30404217926186,0.18006329113924052,Vietnam
35,Brazil,7352,360,53,14.722222222222223,25.652883569096847,0.573901260751738,Argentina
36,Germany,13468,322,46,14.285714285714285,47.14879714879715,0.30299212598425196,Switzerland
37,Spain,3097,122,17,13.934426229508196,78.85050048433968,0.17671956606382835,Portugal
38,Germany,1207,80,11,13.750000000000002,97.34879867439933,0.14124468085106384,Oman
39,Russia,4415,240,33,13.750000000000002,100.0,0.1375,Turkey
40,Russia,2121,160,22,13.750000000000002,44.6958981612447,0.3076344936708861,Estonia
41,Australia,14865,804,108,13.432835820895523,28.005381769256644,0.4796519444573912,Philippines
42,United Kingdom,1030,120,16,13.333333333333334,88.05825242718447,0.151414920984932,Sri Lanka
43,United Kingdom,3097,122,16,13.114754098360656,78.85050048433968,0.16632429747183847,Portugal
44,Spain,1231,40,5,12.5,87.08367181153534,0.1435401119402985,Morocco
45,Australia,1030,120,15,12.5,88.05825242718447,0.14195148842337374,Sri Lanka
46,Australia,417,40,5,12.5,8.15347721822542,1.5330882352941175,India
47,France,28888,845,104,12.307692307692308,78.0947106064802,0.15759956355701035,Spain
48,Germany,5713,565,69,12.212389380530974,54.20969718186592,0.22528053125919745,China
49,Japan,5168,240,28,11.666666666666666,68.88544891640866,0.1693632958801498,Thailand
50,Chile,4604,200,23,11.5,17.463075586446568,0.6585323383084577,Ecuador
51,Germany,3097,122,14,11.475409836065573,78.85050048433968,0.14553376028785867,Portugal
52,Italy,1207,80,9,11.25,97.34879867439933,0.11556382978723405,Oman
53,Latvia,2121,160,18,11.25,44.6958981612447,0.2517009493670886,Estonia
54,France,9580,281,31,11.032028469750891,91.98329853862212,0.11993512566978387,Luxembourg
55,Switzerland,4415,240,26,10.833333333333334,100.0,0.10833333333333334,Turkey
56,Argentina,2934,121,13,10.743801652892563,64.99659168370825,0.1652979236999831,Peru
57,France,3097,122,13,10.655737704918032,78.85050048433968,0.13513849169586875,Portugal
58,Germany,28888,845,90,10.650887573964498,78.0947106064802,0.13638423769356667,Spain
59,Germany,4415,240,25,10.416666666666668,100.0,0.10416666666666669,Turkey
60,Türkiye,4415,240,25,10.416666666666668,100.0,0.10416666666666669,Turkey
61,United Kingdom,1231,40,4,10.0,87.08367181153534,0.11483208955223881,Morocco
62,Switzerland,1207,80,8,10.0,97.34879867439933,0.10272340425531916,Oman
63,Singapore,1030,120,12,10.0,88.05825242718447,0.113561190738699,Sri Lanka
64,Germany,1676,80,8,10.0,46.71837708830549,0.2140485312899106,Kazakhstan
65,Germany,296,40,4,10.0,73.3108108108108,0.13640552995391705,Greece
66,New Zealand,2950,120,12,10.0,68.71186440677967,0.1455352738036507,Singapore
67,Japan,5713,565,54,9.557522123893806,54.20969718186592,0.17630650272458934,China
68,Germany,9084,241,23,9.54356846473029,18.923381770145312,0.504326794261838,Poland
69,United Kingdom,3051,202,19,9.405940594059405,87.18452966240577,0.10788543140028288,Indonesia
70,United Kingdom,4415,240,22,9.166666666666666,100.0,0.09166666666666666,Turkey
71,United Kingdom,3908,240,22,9.166666666666666,64.76458546571136,0.14153825892269195,Malaysia
